timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1715846875.251139,-0.11482913,0.12618384,0.26213518,-1.0065409,-1.468599,0.23782009
1715846875.2528095,-0.056590434,0.15866077,0.9523309,0.028762115,0.079228975,0.12170636
1715846875.259757,-0.056590434,0.15866077,0.9523309,0.028762115,0.079228975,0.12170636
1715846875.262448,-0.056590434,0.15866077,0.9523309,0.028762115,0.079228975,0.12170636
1715846875.26515,-0.09517204,0.19553305,0.94799656,0.08628634,-0.14660689,0.054594755
1715846875.267458,-0.09517204,0.19553305,0.94799656,0.08628634,-0.14660689,0.054594755
1715846875.2704725,-0.08003242,0.19602144,0.9349325,0.067111604,-0.155129,0.017310532
1715846875.2726843,-0.08003242,0.19602144,0.9349325,0.067111604,-0.155129,0.017310532
1715846875.2748444,-0.08003242,0.19602144,0.9349325,0.067111604,-0.155129,0.017310532
1715846875.2768633,-0.08003242,0.19602144,0.9349325,0.067111604,-0.155129,0.017310532
1715846875.2788239,-0.08833479,0.18729174,0.9470199,0.020240007,-0.119975306,-0.035952643
1715846875.2822056,-0.08833479,0.18729174,0.9470199,0.020240007,-0.119975306,-0.035952643
1715846875.2850819,-0.08833479,0.18729174,0.9470199,0.020240007,-0.119975306,-0.035952643
1715846875.287552,-0.08833479,0.18729174,0.9470199,-0.023435798,-0.035819486,-0.080693714
1715846875.2900279,-0.09468366,0.17563179,0.9300488,-0.023435798,-0.035819486,-0.080693714
1715846875.2922294,-0.09468366,0.17563179,0.9300488,-0.023435798,-0.035819486,-0.080693714
1715846875.294587,-0.09468366,0.17563179,0.9300488,-0.023435798,-0.035819486,-0.080693714
1715846875.2966387,-0.09468366,0.17563179,0.9300488,-0.0788295,0.19960375,-0.06258423
1715846875.2986534,-0.09468366,0.17563179,0.9300488,-0.0788295,0.19960375,-0.06258423
1715846875.3005757,-0.09468366,0.17563179,0.9300488,-0.0788295,0.19960375,-0.06258423
1715846875.3024447,-0.09468366,0.17563179,0.9300488,-0.0788295,0.19960375,-0.06258423
1715846875.3044176,-0.13662286,0.15579157,0.9591071,-0.0788295,0.19960375,-0.06258423
1715846875.306298,-0.13662286,0.15579157,0.9591071,-0.0788295,0.19960375,-0.06258423
1715846875.3081615,-0.13662286,0.15579157,0.9591071,-0.0788295,0.19960375,-0.06258423
1715846875.310021,-0.13662286,0.15579157,0.9591071,-0.0788295,0.19960375,-0.06258423
1715846875.3119316,-0.13662286,0.15579157,0.9591071,-0.0788295,0.19960375,-0.06258423
1715846875.3137808,-0.13662286,0.15579157,0.9591071,-0.0788295,0.19960375,-0.06258423
1715846875.3156688,-0.13662286,0.15579157,0.9591071,-0.0788295,0.19960375,-0.06258423
1715846875.3175457,-0.13662286,0.15579157,0.9591071,-0.0788295,0.19960375,-0.06258423
1715846875.3193486,-0.13662286,0.15579157,0.9591071,-0.0788295,0.19960375,-0.06258423
1715846875.3211548,-0.13662286,0.15579157,0.9591071,-0.0788295,0.19960375,-0.06258423
1715846875.3230484,-0.13662286,0.15579157,0.9591071,-0.0788295,0.19960375,-0.06258423
1715846875.3249311,-0.13662286,0.15579157,0.9591071,-0.0788295,0.19960375,-0.06258423
1715846875.3268063,-0.13662286,0.15579157,0.9591071,-0.0788295,0.19960375,-0.06258423
1715846875.328742,-0.13662286,0.15579157,0.9591071,-0.0788295,0.19960375,-0.06258423
1715846875.3306212,-0.13662286,0.15579157,0.9591071,-0.0788295,0.19960375,-0.06258423
1715846875.3325279,-0.13662286,0.15579157,0.9591071,-0.0788295,0.19960375,-0.06258423
1715846875.3343995,-0.13662286,0.15579157,0.9591071,-0.0788295,0.19960375,-0.06258423
1715846875.3362758,-0.13662286,0.15579157,0.9591071,-0.0788295,0.19960375,-0.06258423
